C,penalty,solver,class_weight,train_accuracy,train_f1,train_roc_auc,val_accuracy,val_f1,val_roc_auc,selection_score,stock
0.1,l1,liblinear,None,0.5385714285714286,0.6545454545454545,0.5384829694090558,0.49,0.5349544072948328,0.46663059163059156,0.5349544072948328,AAPL
1.0,l2,liblinear,None,0.5392857142857143,0.6488840500816548,0.5426886352788378,0.49666666666666665,0.5325077399380805,0.4712752525252525,0.5325077399380805,AAPL
1.0,l1,liblinear,None,0.5342857142857143,0.6464208242950108,0.5427337033008228,0.49333333333333335,0.5279503105590062,0.46965187590187596,0.5279503105590062,AAPL
10.0,l2,liblinear,None,0.54,0.65,0.541709430073891,0.49333333333333335,0.525,0.47316919191919193,0.525,AAPL
0.1,l2,liblinear,None,0.5364285714285715,0.6467065868263473,0.5431475096845033,0.4866666666666667,0.5217391304347826,0.46838924963924966,0.5217391304347826,AAPL
0.01,l2,liblinear,None,0.5321428571428571,0.6410958904109589,0.5430450823618103,0.4766666666666667,0.4641638225255973,0.4635642135642136,0.4641638225255973,AAPL
1.0,l2,liblinear,balanced,0.535,0.5598377281947262,0.5427132178362843,0.43,0.11398963730569948,0.4715458152958153,0.11398963730569948,AAPL
0.1,l2,liblinear,balanced,0.5364285714285715,0.5641370047011417,0.543213063171027,0.4266666666666667,0.1134020618556701,0.46861471861471865,0.1134020618556701,AAPL
0.01,l2,liblinear,None,0.555,0.642570281124498,0.5668738461538462,0.5033333333333333,0.3004694835680751,0.49488880918220945,0.3004694835680751,MSFT
0.1,l1,liblinear,None,0.5535714285714286,0.6510329424902289,0.5657497435897436,0.4866666666666667,0.29357798165137616,0.4943059540889526,0.29357798165137616,MSFT
0.1,l2,liblinear,None,0.5471428571428572,0.6426155580608793,0.5671097435897435,0.47333333333333333,0.2882882882882883,0.48439741750358684,0.2882882882882883,MSFT
1.0,l2,liblinear,None,0.5435714285714286,0.6404051772650534,0.567171282051282,0.4633333333333333,0.28444444444444444,0.4804519368723099,0.28444444444444444,MSFT
10.0,l2,liblinear,None,0.5442857142857143,0.6399548532731377,0.5671671794871794,0.4633333333333333,0.28444444444444444,0.47955523672883793,0.28444444444444444,MSFT
1.0,l1,liblinear,None,0.5457142857142857,0.6414881623449831,0.5667548717948718,0.4633333333333333,0.27802690582959644,0.4836352223816356,0.27802690582959644,MSFT
0.1,l2,liblinear,balanced,0.5564285714285714,0.5835010060362174,0.5671630769230769,0.4533333333333333,0.05747126436781609,0.4847112625538019,0.05747126436781609,MSFT
1.0,l2,liblinear,balanced,0.5564285714285714,0.5846153846153846,0.5672307692307692,0.45,0.05714285714285714,0.4807657819225251,0.05714285714285714,MSFT
0.1,l1,liblinear,None,0.5471428571428572,0.6469933184855234,0.5496844715819802,0.54,0.640625,0.4970057142857143,0.640625,GOOGL
0.01,l2,liblinear,None,0.5392857142857143,0.6394633873672443,0.5565618452069147,0.5133333333333333,0.5730994152046783,0.49961142857142854,0.5730994152046783,GOOGL
0.1,l2,liblinear,None,0.5385714285714286,0.6374859708193041,0.5621828345992667,0.5066666666666667,0.5697674418604651,0.50336,0.5697674418604651,GOOGL
10.0,l2,liblinear,None,0.5464285714285714,0.6394094264622374,0.563263243190152,0.5133333333333333,0.5680473372781065,0.50368,0.5680473372781065,GOOGL
1.0,l1,liblinear,None,0.5457142857142857,0.6390465380249716,0.5621685110005239,0.49666666666666665,0.5648414985590778,0.5025371428571429,0.5648414985590778,GOOGL
1.0,l2,liblinear,None,0.5428571428571428,0.6355353075170843,0.5628028418019906,0.5033333333333333,0.5630498533724341,0.5041828571428572,0.5630498533724341,GOOGL
1.0,l2,liblinear,balanced,0.5342857142857143,0.5664893617021277,0.5629092456783656,0.4866666666666667,0.4460431654676259,0.5039542857142858,0.4460431654676259,GOOGL
0.1,l2,liblinear,balanced,0.5307142857142857,0.5640345056403451,0.5622012506547931,0.48333333333333334,0.43636363636363634,0.5032685714285714,0.43636363636363634,GOOGL
10.0,l2,liblinear,None,0.5442857142857143,0.6337543053960965,0.5533963875931832,0.47333333333333333,0.4357142857142857,0.4562402669632925,0.4357142857142857,AMZN
1.0,l2,liblinear,None,0.5442857142857143,0.6337543053960965,0.5534045817789988,0.47333333333333333,0.4316546762589928,0.45672969966629584,0.4316546762589928,AMZN
1.0,l1,liblinear,None,0.545,0.6349570200573066,0.5538183881626793,0.47333333333333333,0.4316546762589928,0.45570634037819796,0.4316546762589928,AMZN
0.1,l2,liblinear,None,0.5478571428571428,0.6364158529580701,0.5534045817789988,0.4766666666666667,0.4290909090909091,0.4569521690767519,0.4290909090909091,AMZN
0.1,l1,liblinear,None,0.5464285714285714,0.6394094264622374,0.5530829599857421,0.4766666666666667,0.41198501872659177,0.46513904338153506,0.41198501872659177,AMZN
0.01,l2,liblinear,None,0.5457142857142857,0.6310904872389791,0.5537548832226095,0.49333333333333335,0.4015748031496063,0.4596218020022247,0.4015748031496063,AMZN
0.1,l2,liblinear,balanced,0.5285714285714286,0.5540540540540541,0.5534189216041758,0.5033333333333333,0.2198952879581152,0.45695216907675196,0.2198952879581152,AMZN
1.0,l2,liblinear,balanced,0.53,0.5572005383580081,0.5533922905002755,0.5033333333333333,0.2198952879581152,0.4561067853170189,0.2198952879581152,AMZN
10.0,l2,liblinear,None,0.5371428571428571,0.6119760479041916,0.5506475358090673,0.48,0.35,0.5321750033585598,0.35,META
0.1,l1,liblinear,None,0.525,0.5991561181434599,0.5469435370021921,0.4666666666666667,0.3103448275862069,0.5388025614616452,0.3103448275862069,META
1.0,l2,liblinear,None,0.5407142857142857,0.616577221228384,0.5501163501004146,0.4666666666666667,0.2727272727272727,0.5339662352783127,0.2727272727272727,META
0.1,l2,liblinear,None,0.5357142857142857,0.6144721233689205,0.5480998874294902,0.4633333333333333,0.27149321266968324,0.5361604943800099,0.27149321266968324,META
1.0,l1,liblinear,None,0.5328571428571428,0.6120996441281139,0.5478056922677748,0.46,0.2636363636363636,0.5378173839057813,0.2636363636363636,META
0.01,l2,liblinear,None,0.5335714285714286,0.6082783443311338,0.5478322515532075,0.44333333333333336,0.22325581395348837,0.536384398369979,0.22325581395348837,META
1.0,l2,liblinear,balanced,0.5378571428571428,0.5534851621808143,0.5500959198808509,0.45666666666666667,0.17258883248730963,0.5341005776722941,0.17258883248730963,META
0.1,l2,liblinear,balanced,0.54,0.5570839064649243,0.5481550490223118,0.46,0.16494845360824742,0.5360709327840222,0.16494845360824742,META
