C,train_accuracy,train_f1,train_roc_auc,val_accuracy,val_f1,val_roc_auc,train_validation_roc_auc_gap,stock
0.5,0.67,0.658284023668639,0.7405164319248827,0.6666666666666666,0.6575342465753424,0.709367066054964,0.031149365869918677,AAPL
1.0,0.67,0.658284023668639,0.7405327617881201,0.6633333333333333,0.6529209621993127,0.7091443588258874,0.031388402962232664,AAPL
0.05,0.6707142857142857,0.6592756836659276,0.7407266789140641,0.67,0.6621160409556314,0.7084316956928423,0.03229498322122182,AAPL
0.1,0.6714285714285714,0.6592592592592592,0.7406817717901613,0.66,0.6530612244897959,0.7084316956928421,0.032250076097319114,AAPL
0.01,0.6721428571428572,0.6582278481012658,0.7402837313737497,0.6666666666666666,0.6551724137931034,0.7062937062937064,0.03399002508004334,AAPL
1.0,0.6885714285714286,0.6588419405320813,0.7605890927080969,0.68,0.6521739130434783,0.7266625177809387,0.033926574927158226,MSFT
0.5,0.6892857142857143,0.6598905394839718,0.7605809154078735,0.68,0.6521739130434783,0.7266180654338549,0.03396284997401866,MSFT
0.1,0.6878571428571428,0.6593920498830865,0.760501186730695,0.68,0.6496350364963503,0.7265291607396871,0.033972025991007904,MSFT
0.01,0.6842857142857143,0.6519685039370079,0.7596671021079036,0.67,0.6292134831460674,0.7262179943100996,0.03344910779780397,MSFT
0.05,0.6864285714285714,0.6578332034294622,0.7603805715523991,0.67,0.64,0.7261290896159317,0.03425148193646743,MSFT
0.01,0.6871428571428572,0.6889204545454546,0.7506750344405327,0.6933333333333334,0.6912751677852349,0.7280245431505936,0.022650491289939123,GOOGL
0.05,0.6878571428571428,0.6902905740609497,0.7516138578498903,0.6966666666666667,0.6956521739130435,0.7266017518118358,0.025012106038054482,GOOGL
0.1,0.685,0.6870120652945352,0.7516873309862748,0.6966666666666667,0.6956521739130435,0.7260237428304654,0.02566358815580938,GOOGL
1.0,0.6835714285714286,0.6846975088967971,0.7517424358385631,0.69,0.6910299003322259,0.7258458939131208,0.02589654192544233,GOOGL
0.5,0.6835714285714286,0.6846975088967971,0.7517505995203837,0.6933333333333334,0.6933333333333334,0.7257569694544485,0.025993630065935247,GOOGL
0.01,0.6728571428571428,0.670028818443804,0.7335406819647506,0.6733333333333333,0.6643835616438356,0.7380772478776835,-0.004536565912932833,AMZN
0.05,0.6764285714285714,0.673866090712743,0.7338876235724372,0.6766666666666666,0.6666666666666666,0.7372772123205475,-0.0033895887481103504,AMZN
0.1,0.675,0.6724262059035278,0.7340427268794031,0.6733333333333333,0.6620689655172414,0.7370105338015023,-0.002967806922099192,AMZN
1.0,0.6757142857142857,0.6743185078909613,0.7342447693450558,0.6733333333333333,0.6620689655172414,0.7360327125650028,-0.001787943219947019,AMZN
0.5,0.6771428571428572,0.6752873563218391,0.7342080343513008,0.6733333333333333,0.6620689655172414,0.7359882661451619,-0.001780231793861109,AMZN
0.01,0.6685714285714286,0.65424739195231,0.7399937540695504,0.65,0.631578947368421,0.7249211076047823,0.015072646464768025,META
0.05,0.6671428571428571,0.6543026706231454,0.7409428905594599,0.6433333333333333,0.6219081272084805,0.717142984132628,0.02379990642683194,META
0.1,0.6692857142857143,0.6567828020756116,0.7410653597839643,0.6366666666666667,0.6120996441281139,0.7144761989421752,0.026589160841789083,META
0.5,0.6685714285714286,0.6552748885586924,0.7412286520833036,0.6366666666666667,0.6120996441281139,0.7116760744921997,0.029552577591103857,META
1.0,0.6685714285714286,0.6552748885586924,0.7413000924642645,0.6366666666666667,0.6120996441281139,0.7109649317747456,0.030335160689518914,META
