config,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,train_accuracy,train_f1,train_roc_auc,val_accuracy,val_f1,val_roc_auc,train_validation_roc_auc_gap,stock
config_1,25,0.03,1,30,0.7,0.6792857142857143,0.6569900687547746,0.7509154929577464,0.6366666666666667,0.6175438596491228,0.7052024408712309,0.04571305208651555,AAPL
config_3,50,0.03,1,50,0.7,0.685,0.6671698113207547,0.7557858746682997,0.64,0.625,0.700124716048283,0.05566115862001675,AAPL
config_2,50,0.02,1,30,0.7,0.6771428571428572,0.6565349544072948,0.7520381710553175,0.63,0.6132404181184669,0.6999020088192062,0.05213616223611128,AAPL
config_5,50,0.01,1,50,0.8,0.6742857142857143,0.6431924882629108,0.7462716880996122,0.6366666666666667,0.6093189964157706,0.6997238430359449,0.04654784506366727,AAPL
config_6,100,0.01,1,50,0.8,0.6771428571428572,0.6496124031007752,0.7525158195550112,0.64,0.6197183098591549,0.6994343236381454,0.05308149591686584,AAPL
config_4,75,0.02,1,50,0.7,0.6807142857142857,0.6616199848599545,0.7551500306184936,0.63,0.6185567010309279,0.6982317046011314,0.05691832601736224,AAPL
config_4,75,0.02,1,50,0.7,0.6921428571428572,0.6727410782080486,0.7752745017468757,0.6633333333333333,0.6353790613718412,0.7197724039829303,0.055502097763945435,MSFT
config_6,100,0.01,1,50,0.8,0.6985714285714286,0.6850746268656717,0.7738414298827171,0.6533333333333333,0.6204379562043796,0.7177498221906117,0.056091607692105416,MSFT
config_2,50,0.02,1,30,0.7,0.6892857142857143,0.6681922196796338,0.7695974110667493,0.66,0.6304347826086957,0.7175942389758179,0.052003172090931415,MSFT
config_3,50,0.03,1,50,0.7,0.6892857142857143,0.6756152125279642,0.7752489476836777,0.66,0.6357142857142857,0.7168830014224751,0.05836594626120262,MSFT
config_1,25,0.03,1,30,0.7,0.6885714285714286,0.6676829268292683,0.7684720101234978,0.6666666666666666,0.6268656716417911,0.7135935277382646,0.054878482385233185,MSFT
config_5,50,0.01,1,50,0.8,0.6857142857142857,0.6615384615384615,0.7667087797628174,0.6566666666666666,0.6142322097378277,0.7109708392603129,0.05573794050250447,MSFT
config_4,75,0.02,1,50,0.7,0.6964285714285714,0.7038327526132404,0.7668646359508139,0.67,0.6796116504854369,0.7165310568671912,0.05033357908362268,GOOGL
config_3,50,0.03,1,50,0.7,0.6957142857142857,0.7041666666666667,0.7659074442573601,0.6733333333333333,0.6878980891719745,0.7151749588724379,0.050732485384922255,GOOGL
config_5,50,0.01,1,50,0.8,0.6857142857142857,0.7146562905317769,0.7590519924485943,0.6266666666666667,0.6705882352941176,0.7146191810057356,0.04443281144285871,GOOGL
config_6,100,0.01,1,50,0.8,0.6892857142857143,0.7078576225654802,0.762800142864432,0.6566666666666666,0.683076923076923,0.7143301765150505,0.0484699663493815,GOOGL
config_1,25,0.03,1,30,0.7,0.6878571428571428,0.7153094462540717,0.7615306903413439,0.6366666666666667,0.6765578635014837,0.7119959094749011,0.04953478086644281,GOOGL
config_2,50,0.02,1,30,0.7,0.6878571428571428,0.7029231815091774,0.7639848971886322,0.6533333333333333,0.6790123456790124,0.7098172602374283,0.05416763695120386,GOOGL
config_1,25,0.03,1,30,0.7,0.6771428571428572,0.6710334788937409,0.7406091070131184,0.67,0.6476868327402135,0.7411440508467043,-0.0005349438335858769,AMZN
config_4,75,0.02,1,50,0.7,0.6785714285714286,0.6691176470588235,0.7459397627735738,0.66,0.6330935251798561,0.7408551491177385,0.005084613655835235,AMZN
config_6,100,0.01,1,50,0.8,0.6792857142857143,0.6715435259692758,0.7438938277047159,0.6733333333333333,0.6474820143884892,0.7398995510911596,0.003994276613556336,AMZN
config_2,50,0.02,1,30,0.7,0.6771428571428572,0.6676470588235294,0.7397376713279293,0.6633333333333333,0.6379928315412187,0.7396106493621939,0.000127021965735441,AMZN
config_3,50,0.03,1,50,0.7,0.6778571428571428,0.6671586715867158,0.7437703573090394,0.66,0.6304347826086957,0.7387439441752968,0.005026413133742635,AMZN
config_5,50,0.01,1,50,0.8,0.6714285714285714,0.6622613803230544,0.7348896725687557,0.6733333333333333,0.6423357664233577,0.7381439175074448,-0.003254244938689088,AMZN
config_6,100,0.01,1,50,0.8,0.6857142857142857,0.6681749622926093,0.7526509484220862,0.63,0.5904059040590406,0.7039423974398862,0.04870855098220006,META
config_4,75,0.02,1,50,0.7,0.6871428571428572,0.6741071428571429,0.7541777314209084,0.63,0.5963636363636363,0.7029867994133073,0.05119093200760105,META
config_2,50,0.02,1,30,0.7,0.6864285714285714,0.6696764484574869,0.7512221408028675,0.63,0.5904059040590406,0.7026978976843415,0.04852424311852599,META
config_3,50,0.03,1,50,0.7,0.685,0.6706497386109037,0.7539144225882238,0.6333333333333333,0.5985401459854015,0.7002311213831727,0.05368330120505116,META
config_5,50,0.01,1,50,0.8,0.6828571428571428,0.6656626506024096,0.7457834866579987,0.63,0.5904059040590406,0.6988310591581848,0.046952427499813876,META
config_1,25,0.03,1,30,0.7,0.6835714285714286,0.6651549508692366,0.7483706490256553,0.63,0.5904059040590406,0.6973421040935153,0.05102854493214004,META
