stock,model,accuracy,f1,roc_auc
AAPL,Baseline Logistic,0.4850498338870432,0.3111111111111111,0.4708233413269385
MSFT,Baseline Logistic,0.4485049833887043,0.09782608695652174,0.5137884872824633
GOOGL,Baseline Logistic,0.4950166112956811,0.45714285714285713,0.5516289834431192
AMZN,Baseline Logistic,0.4684385382059801,0.13043478260869565,0.5277284826974268
META,Baseline Logistic,0.5049833887043189,0.10778443113772455,0.4946550048590865
AAPL,Cross-Asset Logistic,0.5813953488372093,0.5625,0.6403020667726549
MSFT,Cross-Asset Logistic,0.6411960132890365,0.6170212765957447,0.7047745358090186
GOOGL,Cross-Asset Logistic,0.6146179401993356,0.6027397260273972,0.689396628216504
AMZN,Cross-Asset Logistic,0.654485049833887,0.6462585034013606,0.7482307147912244
META,Cross-Asset Logistic,0.6046511627906976,0.6072607260726073,0.6497918327575517
AAPL,Cross-Asset Random Forest,0.5880398671096345,0.5694444444444444,0.6255078608019785
MSFT,Cross-Asset Random Forest,0.6345514950166113,0.6232876712328768,0.7018788682581787
GOOGL,Cross-Asset Random Forest,0.6411960132890365,0.6375838926174496,0.6923247559893524
AMZN,Cross-Asset Random Forest,0.6677740863787376,0.6666666666666666,0.7449133050247698
META,Cross-Asset Random Forest,0.6079734219269103,0.6143790849673203,0.6578970679422447
AAPL,Cross-Asset Gradient Boosting,0.5780730897009967,0.5415162454873647,0.6214008125772832
MSFT,Cross-Asset Gradient Boosting,0.627906976744186,0.5971223021582733,0.6899204244031831
GOOGL,Cross-Asset Gradient Boosting,0.6179401993355482,0.6254071661237784,0.6778393966282165
AMZN,Cross-Asset Gradient Boosting,0.6710963455149501,0.6621160409556314,0.7484297593772117
META,Cross-Asset Gradient Boosting,0.584717607973422,0.570446735395189,0.63154398086633
