config,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,train_accuracy,train_f1,train_roc_auc,val_accuracy,val_f1,val_roc_auc,train_validation_roc_auc_gap,stock
config_5,200,3,20,30,sqrt,0.6835714285714286,0.670631970260223,0.7621504388650745,0.6366666666666667,0.6254295532646048,0.7052247115941382,0.056925727270936255,AAPL
config_4,200,3,10,20,sqrt,0.6857142857142857,0.6716417910447762,0.7632751581955501,0.6433333333333333,0.629757785467128,0.7044229655694624,0.05885219262608776,AAPL
config_6,300,3,20,30,sqrt,0.685,0.6721189591078067,0.7624525413349664,0.64,0.6275862068965518,0.7037548438822324,0.05869769745273401,AAPL
config_1,100,2,10,20,sqrt,0.6828571428571428,0.6686567164179105,0.755865482751582,0.6366666666666667,0.6202090592334495,0.7021958932786959,0.05366958947288614,AAPL
config_2,100,3,10,20,sqrt,0.6878571428571428,0.6736370425690814,0.7634843845682793,0.6333333333333333,0.6180555555555556,0.7013941472540198,0.062090237314259444,AAPL
config_3,100,4,10,20,sqrt,0.6978571428571428,0.6864343958487769,0.7782424984690753,0.6366666666666667,0.6254295532646048,0.6997461137588525,0.0784963847102228,AAPL
config_1,100,2,10,20,sqrt,0.6964285714285714,0.6872700515084621,0.7778881713307944,0.6633333333333333,0.6480836236933798,0.7287962304409672,0.04909194088982716,MSFT
config_2,100,3,10,20,sqrt,0.7028571428571428,0.6963503649635037,0.7835264198348593,0.6533333333333333,0.6438356164383562,0.7275071123755334,0.05601930745932582,MSFT
config_5,200,3,20,30,sqrt,0.7057142857142857,0.697503671071953,0.7831461753744693,0.65,0.6391752577319587,0.7271292674253199,0.056016907949149375,MSFT
config_4,200,3,10,20,sqrt,0.705,0.6965466568699485,0.783680766376577,0.6466666666666666,0.636986301369863,0.7266847439544808,0.056996022422096226,MSFT
config_6,300,3,20,30,sqrt,0.7021428571428572,0.6945054945054945,0.7831563969997486,0.65,0.6391752577319587,0.7257067923186343,0.057449604681114264,MSFT
config_3,100,4,10,20,sqrt,0.7107142857142857,0.7071583514099783,0.7989467637312203,0.6633333333333333,0.6552901023890785,0.7203502844950214,0.07859647923619895,MSFT
config_1,100,2,10,20,sqrt,0.7035714285714286,0.7071277346506705,0.7684953313944589,0.6933333333333334,0.7032258064516129,0.7177093059446,0.050786025449858885,GOOGL
config_5,200,3,20,30,sqrt,0.7028571428571428,0.7066290550070522,0.7758252972090413,0.6866666666666666,0.6967741935483871,0.7167311368992042,0.05909416030983705,GOOGL
config_6,300,3,20,30,sqrt,0.7042857142857143,0.7084507042253522,0.7760773508852493,0.6933333333333334,0.7012987012987013,0.7165977502111955,0.05947960067405378,GOOGL
config_4,200,3,10,20,sqrt,0.7042857142857143,0.7072135785007072,0.777328435124241,0.6866666666666666,0.6948051948051948,0.7164643635231871,0.06086407160105389,GOOGL
config_2,100,3,10,20,sqrt,0.7064285714285714,0.7099505998588568,0.7767855502831778,0.6966666666666667,0.707395498392283,0.7151082655284335,0.06167728475474421,GOOGL
config_3,100,4,10,20,sqrt,0.7135714285714285,0.7178043631245602,0.7943833869074952,0.6833333333333333,0.6964856230031949,0.7135298563869992,0.08085353052049604,GOOGL
config_1,100,2,10,20,sqrt,0.6892857142857143,0.6859205776173285,0.7491642788920725,0.6833333333333333,0.6666666666666666,0.7370327570114227,0.01213152188064981,AMZN
config_6,300,3,20,30,sqrt,0.6892857142857143,0.6854663774403471,0.7555418819745466,0.6833333333333333,0.6666666666666666,0.7358549268856394,0.019686955088907276,AMZN
config_5,200,3,20,30,sqrt,0.6907142857142857,0.6882649388048956,0.7556163723785501,0.6766666666666666,0.6596491228070176,0.7340770700920041,0.02153930228654599,AMZN
config_4,200,3,10,20,sqrt,0.6921428571428572,0.6892573900504686,0.7566429113707049,0.6733333333333333,0.6573426573426573,0.7336770523134362,0.022965859057268778,AMZN
config_2,100,3,10,20,sqrt,0.6907142857142857,0.6873646209386282,0.7573031208418028,0.68,0.6643356643356644,0.732410329347971,0.024892791493831834,AMZN
config_3,100,4,10,20,sqrt,0.7035714285714286,0.7050461975835111,0.7742348917134018,0.6633333333333333,0.6480836236933798,0.7273656606960309,0.04686923101737084,AMZN
config_1,100,2,10,20,sqrt,0.685,0.6721189591078067,0.7562260292007454,0.6566666666666666,0.6308243727598566,0.7231654740210676,0.033060555179677875,META
config_2,100,3,10,20,sqrt,0.6828571428571428,0.672566371681416,0.7649386939473668,0.6533333333333333,0.6285714285714286,0.7183874838881729,0.04655121005919394,META
config_6,300,3,20,30,sqrt,0.6835714285714286,0.6716085989621943,0.7626219844504909,0.65,0.6263345195729537,0.7146539846215387,0.04796799982895217,META
config_5,200,3,20,30,sqrt,0.6857142857142857,0.6731054977711739,0.7632128984587249,0.6433333333333333,0.6164874551971327,0.7142095204231299,0.04900337803559496,META
config_4,200,3,10,20,sqrt,0.6864285714285714,0.6750555144337528,0.7648049983772829,0.6466666666666666,0.6214285714285714,0.7136317169651987,0.051173281412084215,META
config_3,100,4,10,20,sqrt,0.6957142857142857,0.6872246696035242,0.7818700642351082,0.6333333333333333,0.6126760563380281,0.7096315391795192,0.07223852505558903,META
